"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10386","@regression-UI-Login-Admin-Negative","Realestate_Demo","Thu Mar 06 23:15:10 UTC 2025","passed","Thu Mar 06 23:15:21 UTC 2025","","Login.test.ts","",""
"","13473","@regression-UI-Profile-Edit-Password-User-negative","Realestate_Demo","Thu Mar 06 23:15:27 UTC 2025","passed","Thu Mar 06 23:15:41 UTC 2025","","Profile.test.ts","",""
"","6724","@regression-UI-Profile-Edit-Personal-Admin-negative","Realestate_Demo","Thu Mar 06 23:15:24 UTC 2025","passed","Thu Mar 06 23:15:31 UTC 2025","","Profile.test.ts","",""
"","6248","UI-Property-Page-Search-Filter-Agent","Realestate_Demo","Thu Mar 06 23:15:44 UTC 2025","passed","Thu Mar 06 23:15:50 UTC 2025","","Properties.test.ts","",""
"","3617","@critical-UI-Property-Page-Search-Filter-User","Realestate_Demo","Thu Mar 06 23:15:41 UTC 2025","passed","Thu Mar 06 23:15:44 UTC 2025","","Properties.test.ts","",""
"","7283","@regression-UI-Profile-Edit-Personal-Agent","Realestate_Demo","Thu Mar 06 23:15:23 UTC 2025","passed","Thu Mar 06 23:15:30 UTC 2025","","Profile.test.ts","",""
"","6448","@critical-UI-Property-Page-Search-Filter-Admin","Realestate_Demo","Thu Mar 06 23:15:43 UTC 2025","passed","Thu Mar 06 23:15:49 UTC 2025","","Properties.test.ts","",""
"","12850","@regression-UI-Profile-Edit-Password-Admin-negative","Realestate_Demo","Thu Mar 06 23:15:31 UTC 2025","passed","Thu Mar 06 23:15:44 UTC 2025","","Profile.test.ts","",""
"","5674","UI-Home-Page-Search-Filter-Admin","Realestate_Demo","Thu Mar 06 23:15:49 UTC 2025","passed","Thu Mar 06 23:15:55 UTC 2025","","Properties.test.ts","",""
"","6471","@priority-UI-Home-Page-Search-Filter-User","Realestate_Demo","Thu Mar 06 23:15:44 UTC 2025","passed","Thu Mar 06 23:15:51 UTC 2025","","Properties.test.ts","",""
"","6009","@regression-@priority-UI-Login-Agent","Realestate_Demo","Thu Mar 06 23:15:02 UTC 2025","passed","Thu Mar 06 23:15:08 UTC 2025","","Login.test.ts","",""
"","8022","@regression-@critical-UI-Register-Agent-Negative","Realestate_Demo","Thu Mar 06 23:15:56 UTC 2025","passed","Thu Mar 06 23:16:04 UTC 2025","","Register.test.ts","",""
"","5578","@regression-UI-Register-User","Realestate_Demo","Thu Mar 06 23:15:51 UTC 2025","passed","Thu Mar 06 23:15:56 UTC 2025","","Register.test.ts","",""
"","6411","@regression-UI-Profile-Edit-Personal-User","Realestate_Demo","Thu Mar 06 23:15:21 UTC 2025","passed","Thu Mar 06 23:15:27 UTC 2025","","Profile.test.ts","",""
"","5887","@regression-UI-Logout-User","Realestate_Demo","Thu Mar 06 23:15:10 UTC 2025","passed","Thu Mar 06 23:15:16 UTC 2025","","Logout.test.ts","",""
"","4725","@regression-UI-Logout-Admin","Realestate_Demo","Thu Mar 06 23:15:19 UTC 2025","passed","Thu Mar 06 23:15:24 UTC 2025","","Logout.test.ts","",""
"","2954","@regression-UI-Logout-Agent","Realestate_Demo","Thu Mar 06 23:15:16 UTC 2025","passed","Thu Mar 06 23:15:19 UTC 2025","","Logout.test.ts","",""
"","10189","@regression-@fail-UI-Login-Admin-Fail","Realestate_Demo","Thu Mar 06 23:15:10 UTC 2025","failed","Thu Mar 06 23:15:21 UTC 2025","","Login.test.ts","",""
"","6072","UI-Home-Page-Search-Filter-Agent","Realestate_Demo","Thu Mar 06 23:15:50 UTC 2025","passed","Thu Mar 06 23:15:56 UTC 2025","","Properties.test.ts","",""
"","12590","@regression-UI-Profile-Edit-Password-Agent-negative","Realestate_Demo","Thu Mar 06 23:15:30 UTC 2025","passed","Thu Mar 06 23:15:43 UTC 2025","","Profile.test.ts","",""
"","6032","@regression-@priority-UI-Login-Admin","Realestate_Demo","Thu Mar 06 23:15:02 UTC 2025","passed","Thu Mar 06 23:15:08 UTC 2025","","Login.test.ts","",""
"","4572","@regression-@priority-UI-Register-Agent","Realestate_Demo","Thu Mar 06 23:15:55 UTC 2025","passed","Thu Mar 06 23:16:00 UTC 2025","","Register.test.ts","",""
"","6058","@regression-@critical-UI-Login-User","Realestate_Demo","Thu Mar 06 23:15:02 UTC 2025","passed","Thu Mar 06 23:15:08 UTC 2025","","Login.test.ts","",""
