"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15156","@priority-UI-Register-Agent","Realestate_Demo","Thu Mar 06 20:56:34 CET 2025","passed","Thu Mar 06 20:56:49 CET 2025","","Register.test.ts","",""
"","12017","@regression-@priority-UI-Login-Agent","Realestate_Demo","Thu Mar 06 22:46:24 CET 2025","passed","Thu Mar 06 22:46:36 CET 2025","","Login.test.ts","",""
"","9579","@regression-UI-Logout-Agent","Realestate_Demo","Thu Mar 06 22:46:40 CET 2025","passed","Thu Mar 06 22:46:49 CET 2025","","Logout.test.ts","",""
"","11077","@regression-UI-Register-User","Realestate_Demo","Thu Mar 06 22:47:23 CET 2025","passed","Thu Mar 06 22:47:34 CET 2025","","Register.test.ts","",""
"","8511","@regression-@priority-UI-Register-Agent","Realestate_Demo","Thu Mar 06 22:47:29 CET 2025","passed","Thu Mar 06 22:47:38 CET 2025","","Register.test.ts","",""
"","30816","UI-Profile-Edit-Password-Admin-negative","Realestate_Demo","Thu Mar 06 20:55:54 CET 2025","passed","Thu Mar 06 20:56:25 CET 2025","","Profile.test.ts","",""
"","26929","UI-Profile-Edit-Password-Agent-negative","Realestate_Demo","Thu Mar 06 20:55:50 CET 2025","passed","Thu Mar 06 20:56:17 CET 2025","","Profile.test.ts","",""
"","13356","UI-Profile-Edit-Personal-Agent","Realestate_Demo","Thu Mar 06 20:55:37 CET 2025","passed","Thu Mar 06 20:55:50 CET 2025","","Profile.test.ts","",""
"","12106","@regression-@critical-UI-Register-Agent-Negative","Realestate_Demo","Thu Mar 06 22:47:30 CET 2025","passed","Thu Mar 06 22:47:42 CET 2025","","Register.test.ts","",""
"","16374","UI-Register-User","Realestate_Demo","Thu Mar 06 20:56:30 CET 2025","passed","Thu Mar 06 20:56:46 CET 2025","","Register.test.ts","",""
"","16332","@critical-UI-Register-Agent-Negative","Realestate_Demo","Thu Mar 06 20:56:38 CET 2025","passed","Thu Mar 06 20:56:54 CET 2025","","Register.test.ts","",""
"","12952","UI-Profile-Edit-Personal-User","Realestate_Demo","Thu Mar 06 20:55:37 CET 2025","passed","Thu Mar 06 20:55:49 CET 2025","","Profile.test.ts","",""
"","16811","@regression-UI-Login-Admin-Negative","Realestate_Demo","Thu Mar 06 22:46:24 CET 2025","passed","Thu Mar 06 22:46:41 CET 2025","","Login.test.ts","",""
"","14515","UI-Logout-Agent","Realestate_Demo","Thu Mar 06 20:55:22 CET 2025","passed","Thu Mar 06 20:55:36 CET 2025","","Logout.test.ts","",""
"","12127","UI-Home-Page-Search-Filter-Admin","Realestate_Demo","Thu Mar 06 22:47:18 CET 2025","passed","Thu Mar 06 22:47:30 CET 2025","","Properties.test.ts","",""
"","10449","@regression-UI-Profile-Edit-Personal-Admin-negative","Realestate_Demo","Thu Mar 06 22:46:53 CET 2025","passed","Thu Mar 06 22:47:03 CET 2025","","Profile.test.ts","",""
"","18930","@regression-UI-Profile-Edit-Password-User-negative","Realestate_Demo","Thu Mar 06 22:46:56 CET 2025","passed","Thu Mar 06 22:47:15 CET 2025","","Profile.test.ts","",""
"","9649","@critical-UI-Property-Page-Search-Filter-User","Realestate_Demo","Thu Mar 06 22:47:03 CET 2025","passed","Thu Mar 06 22:47:13 CET 2025","","Properties.test.ts","",""
"","14761","UI-Logout-User","Realestate_Demo","Thu Mar 06 20:55:22 CET 2025","passed","Thu Mar 06 20:55:37 CET 2025","","Logout.test.ts","",""
"","4479","@critical-UI-Property-Page-Search-Filter-Admin","Realestate_Demo","Thu Mar 06 22:47:13 CET 2025","passed","Thu Mar 06 22:47:18 CET 2025","","Properties.test.ts","",""
"","14204","@regression-@fail-UI-Login-Admin-Fail","Realestate_Demo","Thu Mar 06 22:46:39 CET 2025","failed","Thu Mar 06 22:46:53 CET 2025","","Login.test.ts","",""
"","9418","@regression-UI-Logout-User","Realestate_Demo","Thu Mar 06 22:46:40 CET 2025","passed","Thu Mar 06 22:46:49 CET 2025","","Logout.test.ts","",""
"","11698","@priority-UI-Home-Page-Search-Filter-User","Realestate_Demo","Thu Mar 06 22:47:17 CET 2025","passed","Thu Mar 06 22:47:29 CET 2025","","Properties.test.ts","",""
"","12105","UI-Home-Page-Search-Filter-Agent","Realestate_Demo","Thu Mar 06 22:47:18 CET 2025","passed","Thu Mar 06 22:47:31 CET 2025","","Properties.test.ts","",""
"","11160","@regression-@critical-UI-Login-User","Realestate_Demo","Thu Mar 06 22:46:24 CET 2025","passed","Thu Mar 06 22:46:35 CET 2025","","Login.test.ts","",""
"","9940","@regression-UI-Profile-Edit-Personal-Agent","Realestate_Demo","Thu Mar 06 22:46:50 CET 2025","passed","Thu Mar 06 22:46:59 CET 2025","","Profile.test.ts","",""
"","18720","@regression-UI-Profile-Edit-Password-Agent-negative","Realestate_Demo","Thu Mar 06 22:46:59 CET 2025","passed","Thu Mar 06 22:47:17 CET 2025","","Profile.test.ts","",""
"","14470","UI-Logout-Admin","Realestate_Demo","Thu Mar 06 20:55:26 CET 2025","passed","Thu Mar 06 20:55:40 CET 2025","","Logout.test.ts","",""
"","9415","@regression-UI-Profile-Edit-Personal-User","Realestate_Demo","Thu Mar 06 22:46:49 CET 2025","passed","Thu Mar 06 22:46:59 CET 2025","","Profile.test.ts","",""
"","13873","UI-Profile-Edit-Personal-Admin-negative","Realestate_Demo","Thu Mar 06 20:55:40 CET 2025","passed","Thu Mar 06 20:55:54 CET 2025","","Profile.test.ts","",""
"","18939","@regression-UI-Profile-Edit-Password-Admin-negative","Realestate_Demo","Thu Mar 06 22:47:00 CET 2025","passed","Thu Mar 06 22:47:18 CET 2025","","Profile.test.ts","",""
"","16782","@regression-UI-Login-Admin","Realestate_Demo","Thu Mar 06 20:55:04 CET 2025","passed","Thu Mar 06 20:55:21 CET 2025","","Login.test.ts","",""
"","8324","@regression-UI-Logout-Admin","Realestate_Demo","Thu Mar 06 22:46:45 CET 2025","passed","Thu Mar 06 22:46:53 CET 2025","","Logout.test.ts","",""
"","7668","UI-Property-Page-Search-Filter-Agent","Realestate_Demo","Thu Mar 06 22:47:15 CET 2025","passed","Thu Mar 06 22:47:23 CET 2025","","Properties.test.ts","",""
"","25909","UI-Profile-Edit-Password-User-negative","Realestate_Demo","Thu Mar 06 20:55:49 CET 2025","passed","Thu Mar 06 20:56:15 CET 2025","","Profile.test.ts","",""
"","11963","@regression-@priority-UI-Login-Admin","Realestate_Demo","Thu Mar 06 22:46:24 CET 2025","passed","Thu Mar 06 22:46:36 CET 2025","","Login.test.ts","",""
"","11549","UI-Property-Page-Search-Filter-Admin","Realestate_Demo","Thu Mar 06 20:56:11 CET 2025","passed","Thu Mar 06 20:56:22 CET 2025","","Properties.test.ts","",""
"","16359","UI-Property-Page-Search-Filter-User","Realestate_Demo","Thu Mar 06 20:55:54 CET 2025","passed","Thu Mar 06 20:56:11 CET 2025","","Properties.test.ts","",""
"","16517","UI-Home-Page-Search-Filter-User","Realestate_Demo","Thu Mar 06 20:56:17 CET 2025","passed","Thu Mar 06 20:56:34 CET 2025","","Properties.test.ts","",""
